time_days,delta_NO₃_alk,delta_NO₃_small_dt,delta_NH₄_alk,delta_NH₄_small_dt,delta_P_alk,delta_P_small_dt,delta_Z_alk,delta_Z_small_dt,delta_DOM_alk,delta_DOM_small_dt,delta_sPOM_alk,delta_sPOM_small_dt,delta_bPOM_alk,delta_bPOM_small_dt,delta_DIC_alk,delta_DIC_small_dt,delta_Alk_alk,delta_Alk_small_dt
29.0,-0.00195467472076416,0.0,3.255029150750488e-5,0.0,0.006931334733963013,0.0,-5.54483849555254e-5,0.0,0.01594657450914383,0.0,0.013182281516492367,0.0,0.013184735551476479,0.0,-0.0078125,0.0,100.01171875,0.0
30.0,-0.0023431777954101562,0.0,3.218158599338494e-5,0.0,0.007679641246795654,0.0,-5.857064388692379e-5,0.0,0.017060548067092896,0.0,0.014182478189468384,0.0,0.014185230247676373,0.0,-0.010009765625,0.0,100.012939453125,0.0
31.0,-0.002787351608276367,0.0,3.1810890504857525e-5,0.0,0.00849255919456482,0.0,-6.195437163114548e-5,0.0,0.018255911767482758,0.0,0.015280921012163162,0.0,0.015284011140465736,0.0,-0.0126953125,0.0,100.013916015625,0.0
32.0,-0.0032935142517089844,0.0,3.1443662010133266e-5,0.0,0.009375035762786865,0.0,-6.566313095390797e-5,0.0,0.01954190991818905,0.0,0.016490845009684563,0.0,0.016494322568178177,0.0,-0.015625,0.0,100.01513671875,0.0
33.0,-0.0038684606552124023,0.0,3.1085106456885114e-5,0.0,0.010332256555557251,0.0,-6.977608427405357e-5,0.0,0.02092899940907955,0.0,0.017827175557613373,0.0,0.017831096425652504,0.0,-0.01904296875,0.0,100.01611328125,0.0
34.0,-0.004519820213317871,0.0,3.07402151520364e-5,0.0,0.011369556188583374,0.0,-7.439078763127327e-5,0.0,0.02242899313569069,0.0,0.01930672489106655,0.0,0.01931115984916687,0.0,-0.02294921875,0.0,100.017578125,0.0
35.0,-0.005255460739135742,0.0,3.0413735657930374e-5,0.0,0.012492626905441284,0.0,-7.962947711348534e-5,0.0,0.02405521646142006,0.0,0.020948436111211777,0.0,0.020953470841050148,0.0,-0.027587890625,0.0,100.019287109375,0.0
36.0,-0.006084084510803223,0.0,3.0110229999991134e-5,0.0,0.013707011938095093,0.0,-8.564582094550133e-5,0.0,0.025822700932621956,0.0,0.022773608565330505,0.0,0.022779347375035286,0.0,-0.032470703125,0.0,100.02099609375,0.0
37.0,-0.007014751434326172,0.0,2.983404920087196e-5,0.0,0.015018433332443237,0.0,-9.263353422284126e-5,0.0,0.027748368680477142,0.0,0.02480616420507431,0.0,0.024812739342451096,0.0,-0.038330078125,0.0,100.022705078125,0.0
38.0,-0.00805675983428955,0.0,2.9589402402052656e-5,0.0,0.016432613134384155,0.0,-0.00010083918459713459,0.0,0.02985125593841076,0.0,0.02707289718091488,0.0,0.027080468833446503,0.0,-0.04443359375,0.0,100.024658203125,0.0
39.0,-0.009220242500305176,0.0,2.9380356863839552e-5,0.0,0.017954915761947632,0.0,-0.00011057988740503788,0.0,0.032152749598026276,0.0,0.029603730887174606,0.0,0.029612503945827484,0.0,-0.0517578125,0.0,100.02685546875,0.0
40.0,-0.010514974594116211,0.0,2.9210887078079395e-5,0.0,0.01959046721458435,0.0,-0.00012226332910358906,0.0,0.034676823765039444,0.0,0.032431960105895996,0.0,0.03244218975305557,0.0,-0.059814453125,0.0,100.029052734375,0.0
41.0,-0.011951088905334473,0.0,2.90848984150216e-5,0.0,0.021343737840652466,0.0,-0.00013641896657645702,0.0,0.03745031729340553,0.0,0.03559444844722748,0.0,0.035606466233730316,0.0,-0.06884765625,0.0,100.03173828125,0.0
42.0,-0.013538241386413574,0.0,2.9006265322095715e-5,0.0,0.023218631744384766,0.0,-0.0001537397038191557,0.0,0.040503185242414474,0.0,0.039131782948970795,0.0,0.03914601355791092,0.0,-0.078369140625,0.0,100.03466796875,0.0
43.0,-0.015285372734069824,0.0,2.8978891350561753e-5,0.0,0.025217890739440918,0.0,-0.00017513521015644073,0.0,0.043868761509656906,0.0,0.04308834671974182,0.0,0.04310532659292221,0.0,-0.089111328125,0.0,100.037841796875,0.0
